accuracy,precision,recall,predicted tile,total size
0.915,0.8055555555555556,0.7435897435897436,4.875,1.3670084476470947
0.8,0.5,0.4,5.0,1.5799996852874756
0.875,0.7857142857142857,0.5365853658536586,5.125,1.7209999561309814
0.765,0.38095238095238093,0.19047619047619047,5.25,1.7002058029174805
0.805,0.5666666666666667,0.3953488372093023,5.375,1.6256341934204102
0.71,0.3055555555555556,0.25,5.5,1.4570097923278809
0.825,0.6666666666666666,0.4444444444444444,5.625,1.4078660011291504
0.87,0.7272727272727273,0.6956521739130435,5.75,1.4250037670135498
0.865,0.8571428571428571,0.5106382978723404,5.875,1.390005350112915
0.865,0.7777777777777778,0.5957446808510638,5.875,1.4051496982574463
0.84,0.7,0.5833333333333334,6.0,1.5640168190002441
0.985,0.9791666666666666,0.9591836734693877,6.125,1.7949953079223633
0.995,1.0,0.9795918367346939,6.125,1.5389978885650635
0.955,0.9166666666666666,0.8979591836734694,6.125,1.5740087032318115
0.915,0.9444444444444444,0.6938775510204082,6.125,1.7419078350067139
