accuracy,precision,recall,predicted tile,total size
0.685,0.21428571428571427,0.23076923076923078,4.875,1.483008623123169
0.9,0.8333333333333334,0.625,5.0,1.7000045776367188
0.815,0.5476190476190477,0.5609756097560976,5.125,1.788006067276001
0.83,0.6818181818181818,0.35714285714285715,5.25,1.803406000137329
0.875,0.875,0.4883720930232558,5.375,1.709184169769287
0.95,0.8636363636363636,0.9047619047619048,5.25,1.5602023601531982
0.95,0.8478260869565217,0.9285714285714286,5.25,1.5013017654418945
0.865,0.7222222222222222,0.6046511627906976,5.375,1.5260009765625
0.84,0.625,0.6818181818181818,5.5,1.5118026733398438
0.855,0.7222222222222222,0.5777777777777777,5.625,1.5304632186889648
0.87,0.7777777777777778,0.6086956521739131,5.75,1.7018990516662598
0.765,0.5,0.1276595744680851,5.875,1.9290215969085693
0.76,0.5,0.0625,6.0,1.6113862991333008
0.755,0,0.0,6.125,1.6820015907287598
0.77,0.5833333333333334,0.28,6.25,1.874743938446045
