accuracy,precision,recall,predicted tile,total size
0.9,0.9130434782608695,0.5384615384615384,4.875,1.7607483863830566
0.86,0.7619047619047619,0.41025641025641024,4.875,1.6051385402679443
0.81,0.5555555555555556,0.25,5.0,1.3319242000579834
0.675,0.0,0.0,5.125,1.1070764064788818
0.85,0.75,0.42857142857142855,5.25,1.2755827903747559
0.875,0.95,0.4418604651162791,5.375,1.2500805854797363
0.715,0.14285714285714285,0.07142857142857142,5.25,1.295323133468628
0.715,0.20833333333333334,0.11627906976744186,5.375,1.3500092029571533
0.695,0.0,0.0,5.5,1.5930111408233643
