accuracy,precision,recall,predicted tile,total size
0.885,0.6904761904761905,0.7435897435897436,4.875,2.4000284671783447
0.85,0.631578947368421,0.6,5.0,2.3017380237579346
0.945,0.96875,0.7560975609756098,5.125,2.4709601402282715
0.815,0.6111111111111112,0.2682926829268293,5.125,2.6078031063079834
0.83,0.5833333333333334,0.6666666666666666,5.25,2.439387321472168
0.975,0.8958333333333334,1.0,5.375,2.4840095043182373
0.975,0.8958333333333334,1.0,5.375,2.8731579780578613
0.965,0.875,0.9767441860465116,5.375,3.1680004596710205
