accuracy,precision,recall,predicted tile,total size
0.785,0.3333333333333333,0.10256410256410256,4.875,2.6556012630462646
0.85,0.6086956521739131,0.7,5.0,2.5973942279815674
0.915,0.75,0.8780487804878049,5.125,2.8360276222229004
0.91,0.8,0.7619047619047619,5.25,3.0681843757629395
0.955,0.8863636363636364,0.9069767441860465,5.375,2.965017557144165
0.945,1.0,0.7441860465116279,5.375,2.9740405082702637
0.965,0.95,0.8837209302325582,5.375,3.3848652839660645
0.805,0.5714285714285714,0.37209302325581395,5.375,4.102044105529785
