accuracy,precision,recall,predicted tile,total size
0.765,0.36666666666666664,0.28205128205128205,4.875,1.7590689659118652
0.77,0.425,0.425,5.0,1.8162333965301514
0.795,0.5,0.2926829268292683,5.125,1.5643792152404785
0.9,0.9583333333333334,0.5476190476190477,5.25,1.3331193923950195
0.81,0.6666666666666666,0.19047619047619047,5.25,1.519981861114502
0.935,0.9411764705882353,0.7441860465116279,5.375,1.5319488048553467
0.945,1.0,0.7441860465116279,5.375,1.5749988555908203
0.865,0.8333333333333334,0.46511627906976744,5.375,1.6481966972351074
0.83,0.6785714285714286,0.4318181818181818,5.5,1.908806324005127
