accuracy,precision,recall,predicted tile,total size
0.855,0.8571428571428571,0.3076923076923077,4.875,2.767029285430908
0.81,0.5,0.2631578947368421,4.75,2.7285940647125244
0.805,0.5,0.41025641025641024,4.875,1.9800002574920654
0.92,0.8333333333333334,0.75,5.0,1.944800615310669
0.925,0.90625,0.7073170731707317,5.125,2.153019666671753
0.955,0.8478260869565217,0.9512195121951219,5.125,2.277766704559326
0.91,0.7857142857142857,0.7857142857142857,5.25,2.2826595306396484
0.805,0.5416666666666666,0.6046511627906976,5.375,2.450418472290039
0.97,0.8958333333333334,0.9772727272727273,5.5,3.0029947757720947
