accuracy,precision,recall,predicted tile,total size
0.925,0.8,0.8205128205128205,4.875,2.005002737045288
0.84,0.5952380952380952,0.625,5.0,2.0559158325195312
0.735,0.2692307692307692,0.17073170731707318,5.125,1.6228532791137695
0.78,0.46875,0.35714285714285715,5.25,1.4682629108428955
0.765,0.4583333333333333,0.5116279069767442,5.375,1.6038727760314941
0.83,0.9166666666666666,0.25,5.5,1.7387793064117432
0.855,0.8888888888888888,0.37209302325581395,5.375,1.7700285911560059
0.79,0.5,0.2619047619047619,5.25,1.9087824821472168
0.825,0.6111111111111112,0.5116279069767442,5.375,2.2075843811035156
