accuracy,precision,recall,predicted tile,total size
0.795,0.4583333333333333,0.28205128205128205,4.875,2.6265225410461426
0.89,0.78125,0.625,5.0,2.583868980407715
0.825,0.6,0.43902439024390244,5.125,1.9008617401123047
0.79,0.5,0.23809523809523808,5.25,1.9153964519500732
0.745,0.34615384615384615,0.20930232558139536,5.375,2.0730605125427246
0.74,0.36666666666666664,0.25,5.5,2.1391711235046387
0.755,0.45,0.4,5.625,2.1910102367401123
0.82,0.6041666666666666,0.6304347826086957,5.75,2.3848743438720703
0.895,0.825,0.7021276595744681,5.875,2.8010194301605225
