accuracy,precision,recall,predicted tile,total size
0.765,0.38235294117647056,0.3333333333333333,4.875,2.9910707473754883
0.8,0.5,0.225,5.0,2.990079164505005
0.905,0.7619047619047619,0.7804878048780488,5.125,2.177753448486328
0.85,0.6666666666666666,0.5714285714285714,5.25,2.20401930809021
0.705,0.30952380952380953,0.3023255813953488,5.375,2.2950267791748047
0.71,0.23076923076923078,0.13636363636363635,5.5,2.3799970149993896
0.765,0.25,0.022222222222222223,5.625,2.517024040222168
0.84,0.6666666666666666,0.6086956521739131,5.75,2.720160484313965
0.925,1.0,0.6808510638297872,5.875,3.288788080215454
