accuracy,precision,recall,predicted tile,total size
0.855,0.65625,0.5384615384615384,4.875,3.045773506164551
0.79,0.46153846153846156,0.3,5.0,3.554490804672241
0.785,0.4642857142857143,0.3170731707317073,5.125,3.7776741981506348
0.84,0.9166666666666666,0.2619047619047619,5.25,3.545006036758423
0.765,0.40625,0.3170731707317073,5.125,3.156987190246582
0.81,0.5625,0.42857142857142855,5.25,2.892239809036255
0.895,0.84375,0.627906976744186,5.375,2.844001293182373
0.86,0.8333333333333334,0.45454545454545453,5.5,3.006847620010376
0.845,0.71875,0.5111111111111111,5.625,3.013026237487793
0.82,0.65625,0.45652173913043476,5.75,3.050018548965454
0.875,0.8928571428571429,0.5319148936170213,5.875,3.584038734436035
0.695,0.0625,0.02127659574468085,5.875,3.7237613201141357
0.76,0,0.0,6.0,3.142026901245117
0.895,1.0,0.5714285714285714,6.125,3.295057773590088
0.835,1.0,0.32653061224489793,6.125,4.761038303375244
