accuracy,precision,recall,predicted tile,total size
0.615,0.047619047619047616,0.05128205128205128,4.875,3.167452096939087
0.75,0.3076923076923077,0.2,5.0,1.4538750648498535
0.815,0.5555555555555556,0.4878048780487805,5.125,1.2380764484405518
0.81,0.5909090909090909,0.30952380952380953,5.25,1.0665512084960938
0.805,0.5833333333333334,0.32558139534883723,5.375,1.222008228302002
0.83,0.8125,0.29545454545454547,5.5,1.1692826747894287
0.955,0.9090909090909091,0.8888888888888888,5.625,1.1699728965759277
0.945,0.9047619047619048,0.8444444444444444,5.625,1.2790331840515137
0.78,0.52,0.28888888888888886,5.625,1.459897518157959
