accuracy,precision,recall,predicted tile,total size
0.645,0.0,0.0,4.875,1.1645193099975586
0.77,0.36363636363636365,0.2,5.0,1.0738499164581299
0.785,0.46875,0.36585365853658536,5.125,1.2973628044128418
0.76,0.38461538461538464,0.23809523809523808,5.25,1.4129276275634766
0.785,0.5,0.46511627906976744,5.375,1.2767081260681152
0.87,0.7142857142857143,0.6818181818181818,5.5,1.271186351776123
0.855,0.6904761904761905,0.6444444444444445,5.625,1.3380086421966553
0.715,0.2608695652173913,0.13043478260869565,5.75,1.2143440246582031
0.795,0.5833333333333334,0.44680851063829785,5.875,1.1500318050384521
0.77,0.6,0.125,6.0,1.2118074893951416
0.715,0.35714285714285715,0.20408163265306123,6.125,1.4190127849578857
0.76,0.6666666666666666,0.08,6.25,1.4520103931427002
0.855,1.0,0.43137254901960786,6.375,1.447019100189209
0.91,1.0,0.64,6.25,1.5027461051940918
0.85,1.0,0.4,6.25,1.5604727268218994
0.915,1.0,0.6530612244897959,6.125,1.3880760669708252
0.825,1.0,0.2857142857142857,6.125,1.462639570236206
