accuracy,precision,recall,predicted tile,total size
0.765,0.375,0.3076923076923077,4.875,1.6887173652648926
0.97,0.9473684210526315,0.9,5.0,1.9922184944152832
0.9,1.0,0.5,5.0,2.137026309967041
0.86,0.7727272727272727,0.425,5.0,2.0590362548828125
0.955,0.8636363636363636,0.926829268292683,5.125,1.9230058193206787
0.925,1.0,0.6341463414634146,5.125,1.8170199394226074
0.795,0,0.0,5.125,1.7696044445037842
0.77,0.4444444444444444,0.38095238095238093,5.25,1.7200264930725098
0.895,0.8235294117647058,0.6511627906976745,5.375,1.7721285820007324
0.76,0.4411764705882353,0.3409090909090909,5.5,1.8230063915252686
0.925,0.8571428571428571,0.8,5.625,2.0800187587738037
0.885,1.0,0.4888888888888889,5.625,2.144951820373535
0.94,0.9210526315789473,0.7954545454545454,5.5,1.7880709171295166
0.78,0.5,0.13636363636363635,5.5,1.9516150951385498
0.925,0.9411764705882353,0.7111111111111111,5.625,2.1013431549072266
