accuracy,precision,recall,predicted tile,total size
0.745,0.3,0.23076923076923078,4.875,3.1923842430114746
0.675,0.12121212121212122,0.1,5.0,3.6708364486694336
0.855,0.6764705882352942,0.5609756097560976,5.125,3.9718880653381348
0.74,0.3333333333333333,0.23809523809523808,5.25,3.608027696609497
0.785,0.5,0.3953488372093023,5.375,3.221709728240967
0.67,0.13333333333333333,0.09090909090909091,5.5,2.933623790740967
0.865,0.75,0.6,5.625,2.9480438232421875
0.82,0.7272727272727273,0.34782608695652173,5.75,3.124027729034424
0.675,0.2,0.1276595744680851,5.875,3.1440329551696777
0.84,0.8333333333333334,0.4166666666666667,6.0,3.1954503059387207
0.885,0.90625,0.5918367346938775,6.125,3.8301265239715576
0.915,0.9705882352941176,0.673469387755102,6.125,3.8689026832580566
0.795,0.6,0.4897959183673469,6.125,3.204512357711792
0.78,0.5681818181818182,0.5,6.25,3.450974702835083
