accuracy,precision,recall,predicted tile,total size
0.93,0.9032258064516129,0.717948717948718,4.875,1.8890180587768555
0.815,0.5416666666666666,0.3333333333333333,4.875,1.9450182914733887
0.83,0.6875,0.275,5.0,1.6282775402069092
0.765,0.3125,0.12195121951219512,5.125,1.3938682079315186
0.765,0.35294117647058826,0.14285714285714285,5.25,1.5260002613067627
0.685,0.0,0.0,5.375,1.5899388790130615
0.66,0.0,0.0,5.5,1.6850073337554932
0.72,0.21052631578947367,0.08888888888888889,5.625,1.742999792098999
0.69,0.2777777777777778,0.21739130434782608,5.75,2.04651141166687
