accuracy,precision,recall,predicted tile,total size
0.795,0.46153846153846156,0.3076923076923077,4.875,2.282797336578369
0.95,0.8571428571428571,0.9,5.0,2.4470765590667725
0.96,0.8333333333333334,1.0,5.0,2.980060338973999
0.945,0.8409090909090909,0.9024390243902439,5.125,2.9262521266937256
0.8,0.5454545454545454,0.2857142857142857,5.25,2.6659533977508545
0.855,0.75,0.4883720930232558,5.375,2.7021405696868896
0.86,0.7,0.6363636363636364,5.5,2.737231492996216
0.925,0.96875,0.6888888888888889,5.625,2.610471487045288
0.875,1.0,0.4444444444444444,5.625,2.611018657684326
0.8,0.55,0.5,5.5,2.908026933670044
0.815,0.5833333333333334,0.6222222222222222,5.625,3.2448031902313232
0.82,0.6041666666666666,0.6304347826086957,5.75,3.2466630935668945
0.905,1.0,0.5957446808510638,5.875,3.430542230606079
0.925,1.0,0.6808510638297872,5.875,3.5063672065734863
0.925,1.0,0.6808510638297872,5.875,3.296018123626709
0.885,1.0,0.5106382978723404,5.875,3.150984048843384
0.785,1.0,0.0851063829787234,5.875,3.526127338409424
