accuracy,precision,recall,predicted tile,total size
0.765,0.3,0.15384615384615385,4.875,1.792703628540039
0.88,0.75,0.6,5.0,1.8383691310882568
0.795,0.5,0.24390243902439024,5.125,2.3429014682769775
0.84,0.8125,0.30952380952380953,5.25,2.292849063873291
0.815,0.8,0.18604651162790697,5.375,2.1200356483459473
0.84,0.7,0.4772727272727273,5.5,2.1394386291503906
0.755,0.4411764705882353,0.3333333333333333,5.625,2.070382595062256
0.77,0.5,0.043478260869565216,5.75,1.9529986381530762
0.715,0.3958333333333333,0.40425531914893614,5.875,1.8894493579864502
0.81,0.6041666666666666,0.6041666666666666,6.0,2.0470333099365234
0.915,1.0,0.6530612244897959,6.125,2.3189995288848877
0.915,1.0,0.6530612244897959,6.125,2.3710405826568604
0.915,1.0,0.6530612244897959,6.125,2.5050292015075684
0.855,1.0,0.40816326530612246,6.125,2.5842201709747314
0.76,0,0.0,6.0,2.5233139991760254
0.815,0.6764705882352942,0.46938775510204084,6.125,2.290025472640991
0.96,1.0,0.84,6.25,2.5664618015289307
