accuracy,precision,recall,predicted tile,total size
0.905,0.8125,0.6666666666666666,4.875,2.6964948177337646
0.94,0.8181818181818182,0.9,5.0,3.0543808937072754
0.765,0.4,0.2926829268292683,5.125,3.321871757507324
0.89,0.7777777777777778,0.6666666666666666,5.25,3.068028688430786
0.805,0.5555555555555556,0.46511627906976744,5.375,2.7625064849853516
0.6,0.0,0.0,5.5,2.5919952392578125
0.745,0.0,0.0,5.625,2.553008556365967
0.77,0,0.0,5.75,2.7087738513946533
0.765,0,0.0,5.875,2.6950292587280273
0.63,0.22916666666666666,0.22916666666666666,6.0,2.699007987976074
0.945,0.975,0.7959183673469388,6.125,3.131049156188965
0.955,1.0,0.8163265306122449,6.125,3.2587270736694336
0.965,0.9375,0.9183673469387755,6.125,2.7050070762634277
0.995,1.0,0.9795918367346939,6.125,2.876981496810913
0.995,1.0,0.9795918367346939,6.125,3.3071250915527344
