accuracy,precision,recall,predicted tile,total size
0.865,0.7,0.5384615384615384,4.875,1.801532506942749
0.96,0.8636363636363636,0.95,5.0,2.1108224391937256
0.92,0.75,0.9,5.0,2.214029312133789
0.925,0.7708333333333334,0.9024390243902439,5.125,2.120811939239502
0.97,0.875,1.0,5.25,2.0678234100341797
0.85,0.6875,0.5238095238095238,5.25,1.8732621669769287
0.845,0.625,0.6976744186046512,5.375,1.8180177211761475
0.78,0.5,0.06818181818181818,5.5,1.8430252075195312
0.855,0.75,0.5333333333333333,5.625,1.8700282573699951
0.81,0.7857142857142857,0.2391304347826087,5.75,1.9240000247955322
0.945,0.875,0.8936170212765957,5.875,2.217015027999878
0.905,1.0,0.5957446808510638,5.875,2.2489233016967773
0.935,0.9722222222222222,0.7446808510638298,5.875,1.9190173149108887
0.995,0.9791666666666666,1.0,5.875,2.000218152999878
0.935,0.9722222222222222,0.7446808510638298,5.875,2.252162456512451
