accuracy,precision,recall,predicted tile,total size
0.735,0.28125,0.23076923076923078,4.875,3.4721760749816895
0.8,0.5,0.05,5.0,3.367949962615967
0.795,0,0.0,5.125,2.474872589111328
0.83,1.0,0.19047619047619047,5.25,2.4409987926483154
0.805,0.5357142857142857,0.36585365853658536,5.125,2.6560280323028564
0.82,1.0,0.14285714285714285,5.25,2.6492888927459717
0.825,0.625,0.36585365853658536,5.125,2.7483606338500977
0.82,0.5625,0.6428571428571429,5.25,3.1100287437438965
0.945,0.8333333333333334,0.9302325581395349,5.375,4.437010288238525
