accuracy,precision,recall,predicted tile,total size
0.955,0.8125,1.0,4.875,1.917006492614746
0.895,0.8064516129032258,0.625,5.0,1.8010284900665283
0.815,0.5714285714285714,0.3902439024390244,5.125,2.0099995136260986
0.82,0.75,0.21428571428571427,5.25,2.1120004653930664
0.945,1.0,0.7441860465116279,5.375,2.0150699615478516
0.945,1.0,0.7441860465116279,5.375,1.9403250217437744
0.955,0.9473684210526315,0.8372093023255814,5.375,2.190476894378662
0.805,0.8333333333333334,0.11627906976744186,5.375,2.542009115219116
