accuracy,precision,recall,predicted tile,total size
0.875,0.7916666666666666,0.48717948717948717,4.875,1.5250122547149658
0.86,0.6666666666666666,0.6,5.0,1.359283685684204
0.795,0.5,0.43902439024390244,5.125,1.6509995460510254
0.775,0.42105263157894735,0.19047619047619047,5.25,1.7908058166503906
0.765,0.4411764705882353,0.3488372093023256,5.375,1.5910508632659912
0.85,0.85,0.38636363636363635,5.5,1.631500244140625
0.835,0.75,0.3488372093023256,5.375,1.7243497371673584
0.93,0.96875,0.7045454545454546,5.5,1.4757931232452393
0.87,0.8,0.5454545454545454,5.5,1.4329559803009033
0.925,0.9411764705882353,0.7111111111111111,5.625,1.4689621925354004
0.825,0.6923076923076923,0.4,5.625,1.729146957397461
0.8,0.625,0.32608695652173914,5.75,1.7884900569915771
0.935,1.0,0.723404255319149,5.875,1.7630186080932617
0.925,1.0,0.6808510638297872,5.875,1.8968956470489502
0.925,1.0,0.6808510638297872,5.875,1.8620316982269287
0.805,1.0,0.1702127659574468,5.875,1.711029052734375
0.79,1.0,0.08695652173913043,5.75,1.848569631576538
