accuracy,precision,recall,predicted tile,total size
0.805,0.5,0.23076923076923078,4.875,2.3749990463256836
0.87,0.85,0.425,5.0,2.342377185821533
0.815,0.5555555555555556,0.2564102564102564,4.875,1.778003215789795
0.89,0.7142857142857143,0.75,5.0,1.7100226879119873
0.865,0.7333333333333333,0.5365853658536586,5.125,1.841036319732666
0.83,0.7857142857142857,0.2619047619047619,5.25,1.9159717559814453
0.695,0.125,0.06976744186046512,5.375,1.9730639457702637
0.75,0.4,0.2727272727272727,5.5,2.2209956645965576
0.855,0.6739130434782609,0.6888888888888889,5.625,2.4843037128448486
