accuracy,precision,recall,predicted tile,total size
0.855,0.6388888888888888,0.5897435897435898,4.875,2.0733487606048584
0.875,0.9411764705882353,0.4,5.0,2.137259006500244
0.805,0,0.0,4.875,1.6552734375
0.755,0.30434782608695654,0.175,5.0,1.5030090808868408
0.905,0.9583333333333334,0.5609756097560976,5.125,1.6662557125091553
0.785,0.4,0.0975609756097561,5.125,1.7139372825622559
0.64,0.0,0.0,5.25,1.7810089588165283
0.78,0.47058823529411764,0.18604651162790697,5.375,1.9199998378753662
0.76,0.3333333333333333,0.09090909090909091,5.5,2.2470455169677734
