accuracy,precision,recall,predicted tile,total size
0.925,0.8157894736842105,0.7948717948717948,4.875,2.4345223903656006
0.82,0.5476190476190477,0.575,5.0,2.8350276947021484
0.805,0.5277777777777778,0.4634146341463415,5.125,2.9040212631225586
0.71,0.3333333333333333,0.38095238095238093,5.25,2.7649667263031006
0.755,0.4117647058823529,0.32558139534883723,5.375,2.628016471862793
0.78,0.5,0.20454545454545456,5.5,2.440948247909546
0.865,0.875,0.4666666666666667,5.625,2.414809226989746
0.91,0.8611111111111112,0.7045454545454546,5.5,2.4582676887512207
0.85,0.7058823529411765,0.5454545454545454,5.5,2.4013242721557617
0.895,0.75,0.8,5.625,2.427077293395996
0.95,0.9285714285714286,0.8478260869565217,5.75,2.7759790420532227
0.86,0.78125,0.5434782608695652,5.75,2.9676995277404785
0.895,0.9333333333333333,0.5957446808510638,5.875,2.4409446716308594
0.945,1.0,0.7659574468085106,5.875,2.579047679901123
0.965,0.9761904761904762,0.8723404255319149,5.875,2.9970078468322754
