accuracy,precision,recall,predicted tile,total size
0.765,0.3333333333333333,0.20512820512820512,4.875,2.516019582748413
0.745,0.34285714285714286,0.3,5.0,2.3940086364746094
0.915,0.875,0.6829268292682927,5.125,2.5684585571289062
0.925,0.9642857142857143,0.6585365853658537,5.125,2.6943557262420654
0.835,0.7,0.34146341463414637,5.125,2.5913195610046387
0.95,1.0,0.7619047619047619,5.25,2.621723175048828
0.81,1.0,0.09523809523809523,5.25,3.030047655105591
0.895,1.0,0.4878048780487805,5.125,3.345431327819824
