accuracy,precision,recall,predicted tile,total size
0.745,0.3125,0.2564102564102564,4.875,2.80043888092041
0.9,0.8846153846153846,0.575,5.0,2.7996273040771484
0.82,0.5714285714285714,0.4,5.0,2.0220093727111816
0.895,0.7941176470588235,0.6585365853658537,5.125,2.012000560760498
0.89,0.9166666666666666,0.5238095238095238,5.25,2.2220265865325928
0.79,0,0.0,5.25,2.3720011711120605
0.815,0.6875,0.2558139534883721,5.375,2.381009101867676
0.83,0.6470588235294118,0.5,5.5,2.5318706035614014
0.815,0.6666666666666666,0.35555555555555557,5.625,3.033262252807617
