accuracy,precision,recall,predicted tile,total size
0.915,0.8235294117647058,0.717948717948718,4.875,1.9250075817108154
0.805,0.5294117647058824,0.225,5.0,2.0501575469970703
0.675,0.1,0.07317073170731707,5.125,2.583261489868164
0.74,0.0,0.0,5.25,2.515242576599121
0.865,0.75,0.5581395348837209,5.375,2.3097083568573
0.81,0.6153846153846154,0.36363636363636365,5.5,2.347543716430664
0.795,0.5625,0.4,5.625,2.3138344287872314
0.8,0.5789473684210527,0.4782608695652174,5.75,2.117661952972412
0.825,0.6666666666666666,0.5106382978723404,5.875,2.1616766452789307
0.9,0.9375,0.625,6.0,2.3655242919921875
0.91,0.9411764705882353,0.6666666666666666,6.0,2.6181564331054688
0.86,1.0,0.4166666666666667,6.0,2.6305079460144043
0.925,1.0,0.6808510638297872,5.875,2.8000245094299316
0.925,1.0,0.6808510638297872,5.875,2.88124418258667
0.885,1.0,0.5106382978723404,5.875,2.7183051109313965
0.835,0.75,0.44680851063829785,5.875,2.5540688037872314
0.94,1.0,0.75,6.0,2.8614563941955566
