accuracy,precision,recall,predicted tile,total size
0.785,0.4375,0.358974358974359,4.875,1.8102197647094727
0.96,1.0,0.8,5.0,1.9010000228881836
0.88,0.7857142857142857,0.55,5.0,1.5605285167694092
0.685,0.19444444444444445,0.17073170731707318,5.125,1.3277416229248047
0.75,0.0,0.0,5.25,1.507002830505371
0.745,0.3181818181818182,0.16279069767441862,5.375,1.5532855987548828
0.81,0.6363636363636364,0.3181818181818182,5.5,1.6340000629425049
0.775,0.5,0.5333333333333333,5.625,1.6881449222564697
0.82,0.6388888888888888,0.5,5.75,1.9557888507843018
