accuracy,precision,recall,predicted tile,total size
0.89,0.9047619047619048,0.48717948717948717,4.875,1.983661413192749
0.835,0.6190476190476191,0.34210526315789475,4.75,2.0750105381011963
0.655,0.0,0.0,4.875,2.6180546283721924
0.82,0.5769230769230769,0.375,5.0,2.5282185077667236
0.795,0,0.0,5.125,2.3535497188568115
0.79,0,0.0,5.25,2.389017343521118
0.835,0.75,0.3488372093023256,5.375,2.376000165939331
0.94,1.0,0.7272727272727273,5.5,2.1780402660369873
0.94,1.0,0.7272727272727273,5.5,2.219069004058838
0.94,1.0,0.7272727272727273,5.5,2.4265735149383545
0.94,1.0,0.7272727272727273,5.5,2.717294216156006
0.91,0.8421052631578947,0.7272727272727273,5.5,2.6674697399139404
0.925,0.9411764705882353,0.7111111111111111,5.625,2.8510189056396484
0.935,1.0,0.7111111111111111,5.625,2.959026575088501
0.935,1.0,0.7111111111111111,5.625,2.764019012451172
0.915,1.0,0.6222222222222222,5.625,2.6293745040893555
0.915,1.0,0.6222222222222222,5.625,2.926018476486206
