accuracy,precision,recall,predicted tile,total size
0.825,0.6666666666666666,0.20512820512820512,4.875,2.0695090293884277
0.92,0.8157894736842105,0.775,5.0,2.1657156944274902
0.935,0.8333333333333334,0.8536585365853658,5.125,2.6794183254241943
0.84,0.8125,0.30952380952380953,5.25,2.672046184539795
0.905,0.9285714285714286,0.6046511627906976,5.375,2.4802892208099365
0.865,0.8333333333333334,0.46511627906976744,5.375,2.427114725112915
0.69,0.30434782608695654,0.3181818181818182,5.5,2.4677610397338867
0.785,0.5384615384615384,0.3111111111111111,5.625,2.2880077362060547
0.89,0.8529411764705882,0.6304347826086957,5.75,2.316817045211792
0.93,0.9705882352941176,0.717391304347826,5.75,2.552534341812134
0.93,1.0,0.6956521739130435,5.75,2.8540356159210205
0.89,1.0,0.5217391304347826,5.75,2.840010404586792
0.93,1.0,0.6956521739130435,5.75,3.002896547317505
0.93,1.0,0.6956521739130435,5.75,3.096660852432251
0.93,1.0,0.6956521739130435,5.75,2.9170267581939697
0.93,1.0,0.6956521739130435,5.75,2.7480275630950928
0.99,0.9782608695652174,0.9782608695652174,5.75,3.067896842956543
