accuracy,precision,recall,predicted tile,total size
0.905,0.7631578947368421,0.7435897435897436,4.875,1.8305115699768066
0.865,0.7096774193548387,0.55,5.0,1.7450032234191895
0.765,0.375,0.21951219512195122,5.125,1.9409425258636475
0.795,0.5185185185185185,0.3333333333333333,5.25,2.0462262630462646
0.805,1.0,0.09302325581395349,5.375,1.9900193214416504
0.79,0,0.0,5.25,1.90574049949646
0.805,0.5833333333333334,0.32558139534883723,5.375,2.171016216278076
0.79,0.5277777777777778,0.4318181818181818,5.5,2.457920789718628
