accuracy,precision,recall,predicted tile,total size
0.835,0.5789473684210527,0.5641025641025641,4.875,2.3103291988372803
0.78,0.4523809523809524,0.475,5.0,2.2288818359375
0.795,0.5,0.34146341463414637,5.125,2.4200286865234375
0.77,0.4444444444444444,0.38095238095238093,5.25,2.525372266769409
0.745,0.375,0.27906976744186046,5.375,2.3979766368865967
0.75,0.25,0.06818181818181818,5.5,2.4669551849365234
0.865,0.7142857142857143,0.6666666666666666,5.625,2.7880303859710693
0.79,0.5476190476190477,0.5,5.75,3.0879604816436768
