accuracy,precision,recall,predicted tile,total size
0.905,0.8125,0.6666666666666666,4.875,2.2182188034057617
0.96,1.0,0.8,5.0,2.217010498046875
0.93,0.8421052631578947,0.8,5.0,1.6841299533843994
0.925,0.90625,0.7073170731707317,5.125,1.5640168190002441
0.735,0.2692307692307692,0.17073170731707318,5.125,1.801999807357788
0.78,0.46875,0.35714285714285715,5.25,1.7860002517700195
0.785,0,0.0,5.375,1.8665597438812256
0.8,0.5625,0.4090909090909091,5.5,2.041027069091797
0.935,1.0,0.7111111111111111,5.625,2.384597063064575
