accuracy,precision,recall,predicted tile,total size
0.745,0.25,0.15384615384615385,4.875,2.1530063152313232
0.87,0.7333333333333333,0.55,5.0,2.0566017627716064
0.935,1.0,0.6829268292682927,5.125,2.2160186767578125
0.875,1.0,0.3902439024390244,5.125,2.404175281524658
0.81,0.5714285714285714,0.2,5.0,2.279233694076538
0.895,0.8125,0.6341463414634146,5.125,2.3545782566070557
0.98,0.9318181818181818,0.9761904761904762,5.25,2.5930395126342773
0.92,0.8421052631578947,0.7619047619047619,5.25,2.8860275745391846
