accuracy,precision,recall,predicted tile,total size
0.965,1.0,0.8205128205128205,4.875,1.7795135974884033
0.945,0.8888888888888888,0.8205128205128205,4.875,1.9039981365203857
0.845,0.6666666666666666,0.41025641025641024,4.875,2.3684797286987305
0.8,0.5,0.125,5.0,2.3439300060272217
0.835,0.6333333333333333,0.4634146341463415,5.125,2.1510274410247803
0.81,0.5555555555555556,0.47619047619047616,5.25,2.2390317916870117
0.845,0.7727272727272727,0.3953488372093023,5.375,2.1279170513153076
0.9,0.8,0.7272727272727273,5.5,1.9790949821472168
0.855,0.6666666666666666,0.7111111111111111,5.625,1.9610016345977783
0.89,0.8,0.6956521739130435,5.75,2.1284568309783936
0.925,1.0,0.6808510638297872,5.875,2.3903748989105225
0.925,1.0,0.6808510638297872,5.875,2.441053628921509
0.825,0.8,0.3404255319148936,5.875,2.558056116104126
0.755,0.48148148148148145,0.2708333333333333,6.0,2.6351163387298584
0.765,0.5294117647058824,0.3673469387755102,6.125,2.505019426345825
0.91,1.0,0.64,6.25,2.3597986698150635
0.86,1.0,0.44,6.25,2.642017364501953
