accuracy,precision,recall,predicted tile,total size
0.905,0.7941176470588235,0.6923076923076923,4.875,3.4722633361816406
0.8,0,0.0,5.0,1.1913142204284668
0.715,0.2894736842105263,0.2682926829268293,5.125,1.2366397380828857
0.87,0.75,0.5714285714285714,5.25,1.3028581142425537
0.725,0.3,0.20930232558139536,5.375,1.3015799522399902
0.7,0.23333333333333334,0.1590909090909091,5.5,1.2670085430145264
0.785,0.5263157894736842,0.4444444444444444,5.625,1.2810189723968506
0.91,0.8888888888888888,0.6956521739130435,5.75,1.4889945983886719
