accuracy,precision,recall,predicted tile,total size
0.775,0.375,0.23076923076923078,4.875,1.9620089530944824
0.89,0.95,0.475,5.0,2.022010087966919
0.885,1.0,0.41025641025641024,4.875,1.6069984436035156
0.89,1.0,0.42105263157894735,4.75,1.452221393585205
0.915,0.9545454545454546,0.5675675675675675,4.625,1.5620293617248535
0.93,1.0,0.6216216216216216,4.625,1.698007345199585
0.715,0.0,0.0,4.625,1.7299222946166992
0.71,0.08333333333333333,0.05263157894736842,4.75,1.8493144512176514
0.69,0.0,0.0,4.875,2.185309886932373
