accuracy,precision,recall,predicted tile,total size
0.82,0.5714285714285714,0.3076923076923077,4.875,1.614799976348877
0.79,0.46153846153846156,0.3,5.0,1.5958449840545654
0.645,0.0,0.0,5.125,2.010019540786743
0.81,0.5666666666666667,0.40476190476190477,5.25,2.047017812728882
0.775,0.4722222222222222,0.3953488372093023,5.375,1.8849742412567139
0.74,0.16666666666666666,0.045454545454545456,5.5,1.9120233058929443
0.695,0.0,0.0,5.625,1.9350097179412842
0.75,0.25,0.043478260869565216,5.75,1.7631537914276123
0.745,0.0,0.0,5.875,1.7321462631225586
0.61,0.0,0.0,6.0,1.744633436203003
0.745,0.47368421052631576,0.3673469387755102,6.125,2.031534194946289
0.57,0.10869565217391304,0.1,6.25,2.1140427589416504
0.835,0.725,0.5686274509803921,6.375,2.143079996109009
0.86,1.0,0.46153846153846156,6.5,2.3014893531799316
0.865,0.7727272727272727,0.6666666666666666,6.375,2.2007575035095215
0.85,1.0,0.4230769230769231,6.5,2.017609119415283
0.805,0.6666666666666666,0.47058823529411764,6.375,2.193018674850464
