accuracy,precision,recall,predicted tile,total size
0.84,1.0,0.1794871794871795,4.875,1.5782182216644287
0.685,0.12121212121212122,0.10526315789473684,4.75,1.4442567825317383
0.815,0.5333333333333333,0.41025641025641024,4.875,1.6159999370574951
0.88,0.7222222222222222,0.65,5.0,1.5640487670898438
0.715,0.16666666666666666,0.0975609756097561,5.125,1.5280184745788574
0.71,0.30952380952380953,0.30952380952380953,5.25,1.3682746887207031
0.795,0.5416666666666666,0.3023255813953488,5.375,1.3239998817443848
0.83,0.6666666666666666,0.45454545454545453,5.5,1.3348917961120605
0.715,0.125,0.044444444444444446,5.625,1.3951060771942139
0.82,0.6388888888888888,0.5,5.75,1.331786870956421
0.935,0.8695652173913043,0.851063829787234,5.875,1.4045391082763672
0.995,0.9791666666666666,1.0,5.875,1.6385719776153564
0.765,0.5,0.3829787234042553,5.875,1.4180095195770264
0.91,0.8571428571428571,0.75,6.0,1.430966854095459
0.85,0.75,0.5625,6.0,1.6073923110961914
