accuracy,precision,recall,predicted tile,total size
0.935,0.8421052631578947,0.8205128205128205,4.875,2.016497850418091
0.91,0.8235294117647058,0.7,5.0,2.111929416656494
0.915,1.0,0.5853658536585366,5.125,2.64401912689209
0.965,0.8541666666666666,1.0,5.125,2.577230215072632
0.815,0.5833333333333334,0.34146341463414637,5.125,2.3540098667144775
0.82,0.7142857142857143,0.23809523809523808,5.25,2.392298936843872
0.815,0.5833333333333334,0.4883720930232558,5.375,2.4253952503204346
0.78,0.5,0.25,5.5,2.251784324645996
0.72,0.0,0.0,5.625,2.273050308227539
0.795,0.5806451612903226,0.391304347826087,5.75,2.4980199337005615
0.925,0.9,0.7659574468085106,5.875,2.7604804039001465
0.935,0.925,0.7872340425531915,5.875,2.7420196533203125
0.925,1.0,0.6808510638297872,5.875,2.9358608722686768
0.925,1.0,0.6808510638297872,5.875,3.0417873859405518
0.905,0.868421052631579,0.7021276595744681,5.875,2.8360164165496826
0.815,0.65625,0.44680851063829785,5.875,2.6691431999206543
0.84,0.7,0.5833333333333334,6.0,2.990260362625122
