VideoName,UserIndex,epochCNN
1-1-Conan Gore Fly,1,200
running time,epochs,FirstLoss,FinalLoss
0.763,0.7421875,0.3177257525083612,7.475,4.287856340408325
0.697,0.8125,0.27154046997389036,9.575,3.4316141605377197
0.58,0.8203125,0.20916334661354583,12.55,3.7174549102783203
0.701,0.3984375,0.18681318681318682,6.825,3.5645198822021484
0.699,0.7068965517241379,0.2349570200573066,8.725,3.4677953720092773
0.658,0.7602739726027398,0.26555023923444976,10.45,3.996380567550659
0.657,0.7105263157894737,0.26535626535626533,10.175,3.9715826511383057
0.708,0.7465753424657534,0.29945054945054944,9.1,3.848470687866211
0.702,0.7672413793103449,0.24722222222222223,9.0,3.807544708251953
0.63,0.9206349206349206,0.24369747899159663,11.9,3.93890643119812
0.815,0.48484848484848486,0.35359116022099446,4.525,3.5246598720550537
0.765,0.5063291139240507,0.33755274261603374,5.925,3.4795103073120117
0.392,1.0,0.19148936170212766,18.8,3.5636227130889893
0.704,0.9921875,0.3009478672985782,10.55,3.6896862983703613
0.496,1.0,0.18181818181818182,15.4,3.5590219497680664
0.86,0.5862068965517241,0.425,4.0,3.647498607635498
0.792,0.5197368421052632,0.3691588785046729,5.35,3.547107219696045
0.452,0.9379310344827586,0.20148148148148148,16.875,3.7878332138061523
0.2,1.0,0.16579770594369134,23.975,3.7300631999969482
0.356,0.9851851851851852,0.17161290322580644,19.375,3.6165220737457275
0.72,0.6637931034482759,0.24213836477987422,7.95,3.510236978530884
0.12,1.0,0.12,25.0,3.4129998683929443
0.62,0.6095890410958904,0.21601941747572814,10.3,3.558032751083374
0.488,0.8378378378378378,0.20261437908496732,15.3,3.849642753601074
0.675,0.6267605633802817,0.24653739612188366,9.025,3.795508861541748
0.738,0.775,0.35428571428571426,8.75,4.5371527671813965
0.659,0.6597222222222222,0.2454780361757106,9.675,3.997145414352417
0.408,0.9607843137254902,0.14285714285714285,17.15,3.9885120391845703
0.562,0.8478260869565217,0.21910112359550563,13.35,3.9800007343292236
0.564,0.9447513812154696,0.2864321608040201,14.925,4.047519207000732
0.879,0.8679245283018868,0.5798319327731093,5.95,4.073669195175171
0.869,0.9698795180722891,0.5609756097560976,7.175,3.8704378604888916
0.828,0.7984496124031008,0.41365461847389556,6.225,3.5949971675872803
0.572,0.9942528735632183,0.28833333333333333,15.0,4.14519190788269
0.549,0.9,0.22380106571936056,14.075,4.172709703445435
0.503,0.9,0.1559792027729636,14.425,4.387003421783447
0.788,0.7108433734939759,0.41843971631205673,7.05,4.643704891204834
0.826,0.7239583333333334,0.5346153846153846,6.5,4.0476603507995605
0.861,0.618421052631579,0.7305699481865285,4.825,3.6997528076171875
0.793,0.7321428571428571,0.5273311897106109,7.775,3.671511173248291
0.714,0.9516129032258065,0.3898678414096916,11.35,3.7324464321136475
0.87,0.7932692307692307,0.6547619047619048,6.3,3.8395135402679443
0.775,0.6127450980392157,0.4612546125461255,6.775,3.8230228424072266
0.693,0.6683673469387755,0.3512064343163539,9.325,3.763502359390259
0.712,0.73,0.38421052631578945,9.5,3.6566781997680664
0.75,0.875,0.4688995215311005,10.45,3.866077423095703
0.78,0.9095238095238095,0.4872448979591837,9.8,3.878783702850342
0.761,0.8252427184466019,0.45576407506702415,9.325,3.891012668609619
0.719,0.91,0.40898876404494383,11.125,3.862518072128296
0.795,0.9022988505747126,0.45507246376811594,8.625,3.831953287124634
0.798,0.6776315789473685,0.40234375,6.4,3.8969995975494385
0.814,0.2578125,0.2661290322580645,3.1,3.8330774307250977
0.871,0.7962962962962963,0.5733333333333334,5.625,3.8430001735687256
0.871,0.9329896907216495,0.6094276094276094,7.425,3.826998233795166
0.677,1.0,0.39626168224299063,13.375,3.8369998931884766
0.802,0.9230769230769231,0.5133689839572193,9.35,3.90058970451355
0.9,0.9362745098039216,0.6870503597122302,6.95,3.848675012588501
0.844,0.9801980198019802,0.5657142857142857,8.75,3.7675559520721436
0.837,0.99375,0.4953271028037383,8.025,3.818514347076416
0.834,0.7819148936170213,0.5404411764705882,6.8,3.887504816055298
0.828,0.4230769230769231,0.5347222222222222,3.6,3.7729992866516113
0.834,0.6986301369863014,0.45535714285714285,5.6,3.72499942779541
0.784,0.9642857142857143,0.3375,8.0,3.753026008605957
0.862,0.6363636363636364,0.5141242937853108,4.425,3.921053171157837
0.769,0.796875,0.3322475570032573,7.675,4.023058176040649
0.833,0.8295454545454546,0.3244444444444444,5.625,4.161033391952515
0.858,0.7647058823529411,0.34759358288770054,4.675,3.77402400970459
0.867,0.9571428571428572,0.3401015228426396,4.925,3.8315539360046387
0.887,0.6864406779661016,0.5159235668789809,3.925,3.8815159797668457
0.715,0.859375,0.2917771883289125,9.425,3.850999593734741
0.89,0.5857142857142857,0.6119402985074627,3.35,3.959268569946289
0.882,0.6533333333333333,0.5975609756097561,4.1,3.524484872817993
0.723,0.24528301886792453,0.11659192825112108,5.575,3.5160224437713623
0.898,0.851063829787234,0.47619047619047616,4.2,3.416511058807373
0.863,0.5448717948717948,0.5629139072847682,3.775,3.4282116889953613
0.794,0.8961038961038961,0.42073170731707316,8.2,3.4701433181762695
0.785,0.9365079365079365,0.3630769230769231,8.125,3.765972375869751
0.753,0.868421052631579,0.2990936555891239,8.275,3.9597134590148926
0.86,0.6164383561643836,0.5172413793103449,4.35,3.9410650730133057
0.833,0.6081081081081081,0.45226130653266333,4.975,3.942901849746704
0.81,0.631578947368421,0.32727272727272727,5.5,3.735093593597412
0.848,0.5333333333333333,0.4,4.0,3.4539434909820557
0.701,0.8981481481481481,0.2519480519480519,9.625,3.4755568504333496
0.816,0.6274509803921569,0.3047619047619048,5.25,3.3953964710235596
0.551,0.9375,0.19195612431444242,13.675,3.5188887119293213
0.871,0.9444444444444444,0.4533333333333333,5.625,3.869497776031494
0.788,0.9482758620689655,0.34810126582278483,7.9,3.8865091800689697
0.91,0.925,0.578125,4.8,3.4500656127929688
0.831,0.13793103448275862,0.5581395348837209,1.075,3.4524829387664795
0.768,0.605,0.4416058394160584,6.85,3.5609872341156006
0.307,0.8557692307692307,0.2116527942925089,21.025,3.917045831680298
0.233,1.0,0.19853709508881923,23.925,3.452019214630127
0.512,0.9096385542168675,0.2419871794871795,15.6,3.608241558074951
0.725,0.725609756097561,0.34097421203438394,8.725,3.366999626159668
0.911,0.74375,0.7125748502994012,4.175,3.4907381534576416
0.842,0.7875,0.504,6.25,3.5565552711486816
0.91,0.7105263157894737,0.7012987012987013,3.85,3.4363815784454346
0.914,0.8125,0.6647727272727273,4.4,3.8185665607452393
0.857,0.9444444444444444,0.5018450184501845,6.775,3.8637807369232178
0.862,0.7971014492753623,0.5,5.5,3.8577589988708496
0.775,0.96,0.39669421487603307,9.075,3.8150293827056885
0.931,0.8888888888888888,0.7071823204419889,4.525,3.825758457183838
0.872,0.9305555555555556,0.5317460317460317,6.3,3.8696236610412598
0.953,0.8507462686567164,0.8085106382978723,3.525,3.9218392372131348
0.926,0.59375,0.7755102040816326,2.45,3.8095016479492188
0.97,0.9333333333333333,0.875,4.0,3.8691108226776123
0.961,0.9195402298850575,0.8648648648648649,4.625,3.9990081787109375
0.885,1.0,0.5818181818181818,6.875,3.750544786453247
0.925,1.0,0.6808510638297872,5.875,4.028640985488892
0.995,1.0,0.9696969696969697,4.125,3.7928693294525146
1.0,1.0,1.0,4.0,3.7617263793945312
0.995,0.96875,1.0,3.875,3.9474527835845947
0.745,1.0,0.3855421686746988,10.375,3.9372968673706055
0.965,1.0,0.8205128205128205,4.875,3.759181261062622
0.99,1.0,0.9411764705882353,4.25,3.86999773979187
0.995,1.0,0.9696969696969697,4.125,3.847688913345337
1.0,1.0,1.0,4.0,3.9444539546966553
1.0,1.0,1.0,4.0,4.034347057342529
1.0,1.0,1.0,4.0,4.016590595245361
1.0,1.0,1.0,4.0,3.8960185050964355
0.992,1.0,0.9523809523809523,4.2,3.848361015319824
0.995,1.0,0.9696969696969697,4.125,3.8806838989257812
0.98,1.0,0.875,4.0,3.797058343887329
0.889,0.1875,0.7741935483870968,0.775,3.5100464820861816
0.962,0.9375,0.8,3.75,3.7993292808532715
0.987,1.0,0.9192546583850931,4.025,3.918793201446533
0.349,1.0,0.19728729963008632,20.275,3.989819288253784
0.969,1.0,0.837696335078534,4.775,3.9739904403686523
0.894,1.0,0.6015037593984962,6.65,3.912125587463379
0.92,1.0,0.6666666666666666,6.0,3.8920812606811523
1.0,1.0,1.0,4.0,3.480808973312378
